angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.21,,"[215, 70, 142, 178]",,0.0,,0.07,,0.0,,0.36,,0.36,,0.0,
0.29,,"[213, 70, 143, 181]",,0.0,,0.07,,0.0,,0.31,,0.33,,0.0,
0.26,,"[213, 70, 144, 182]",,0.0,,0.06,,0.0,,0.37,,0.3,,0.0,
0.26,,"[214, 71, 143, 180]",,0.0,,0.07,,0.0,,0.33,,0.34,,0.0,
0.38,,"[212, 70, 144, 182]",,0.0,,0.05,,0.0,,0.3,,0.26,,0.0,
0.39,,"[212, 70, 144, 182]",,0.0,,0.05,,0.0,,0.3,,0.26,,0.0,
0.24,,"[211, 68, 146, 185]",,0.0,,0.05,,0.0,,0.46,,0.25,,0.0,
0.34,,"[210, 66, 146, 186]",,0.0,,0.06,,0.0,,0.33,,0.27,,0.0,
0.34,,"[210, 66, 146, 186]",,0.0,,0.06,,0.0,,0.33,,0.27,,0.0,
0.3,,"[209, 65, 148, 185]",,0.0,,0.06,,0.0,,0.3,,0.34,,0.0,
0.28,,"[210, 64, 148, 187]",,0.0,,0.05,,0.0,,0.39,,0.27,,0.0,
0.22,,"[216, 66, 140, 185]",,0.0,,0.05,,0.0,,0.37,,0.36,,0.0,
0.24,,"[215, 67, 139, 183]",,0.0,,0.05,,0.0,,0.37,,0.33,,0.0,
0.26,,"[215, 69, 140, 181]",,0.0,,0.07,,0.0,,0.27,,0.39,,0.0,
0.45,,"[207, 63, 151, 189]",,0.0,,0.04,,0.0,,0.28,,0.24,,0.0,
0.32,,"[215, 69, 140, 182]",,0.0,,0.07,,0.0,,0.21,,0.39,,0.0,
0.47,,"[207, 64, 152, 191]",,0.0,,0.05,,0.0,,0.28,,0.2,,0.0,
0.51,,"[206, 64, 153, 191]",,0.0,,0.05,,0.0,,0.23,,0.21,,0.0,
0.43,,"[206, 63, 153, 191]",,0.0,,0.05,,0.0,,0.26,,0.26,,0.0,
0.39,,"[207, 62, 153, 193]",,0.0,,0.05,,0.0,,0.29,,0.26,,0.0,
0.39,,"[207, 62, 153, 193]",,0.0,,0.05,,0.0,,0.29,,0.26,,0.0,
0.4,,"[214, 65, 148, 186]",,0.0,,0.07,,0.0,,0.2,,0.33,,0.0,
0.27,,"[215, 66, 148, 185]",,0.0,,0.07,,0.0,,0.25,,0.41,,0.0,
0.38,,"[214, 65, 149, 186]",,0.0,,0.07,,0.0,,0.2,,0.35,,0.0,
0.38,,"[214, 65, 149, 186]",,0.0,,0.07,,0.0,,0.2,,0.36,,0.0,
0.31,,"[214, 64, 150, 186]",,0.0,,0.06,,0.0,,0.25,,0.37,,0.0,
0.4,,"[212, 62, 153, 191]",,0.0,,0.06,,0.0,,0.24,,0.3,,0.0,
0.41,,"[212, 62, 153, 191]",,0.0,,0.06,,0.0,,0.24,,0.29,,0.0,
0.35,,"[215, 62, 152, 191]",,0.0,,0.05,,0.0,,0.27,,0.33,,0.0,
0.35,,"[215, 62, 152, 191]",,0.0,,0.05,,0.0,,0.27,,0.32,,0.0,
0.41,,"[213, 62, 154, 191]",,0.0,,0.05,,0.0,,0.23,,0.31,,0.0,
0.38,,"[214, 62, 153, 190]",,0.0,,0.05,,0.0,,0.25,,0.31,,0.0,
0.35,,"[215, 63, 152, 189]",,0.0,,0.06,,0.0,,0.23,,0.36,,0.0,
0.34,,"[216, 64, 152, 189]",,0.0,,0.06,,0.0,,0.22,,0.37,,0.0,
0.37,,"[217, 63, 152, 189]",,0.0,,0.06,,0.0,,0.19,,0.39,,0.0,
0.35,0.07,"[214, 63, 154, 191]","[21, 202, 42, 49]",0.0,0.0,0.06,0.05,0.0,0.41,0.23,0.19,0.35,0.24,0.0,0.04
0.36,,"[214, 64, 154, 190]",,0.0,,0.06,,0.0,,0.19,,0.38,,0.0,
0.37,,"[214, 64, 154, 191]",,0.0,,0.07,,0.0,,0.18,,0.38,,0.0,
0.35,,"[213, 67, 154, 193]",,0.0,,0.1,,0.0,,0.3,,0.25,,0.0,
0.35,,"[213, 67, 155, 193]",,0.0,,0.1,,0.0,,0.3,,0.25,,0.0,
0.19,,"[213, 64, 155, 196]",,0.0,,0.07,,0.0,,0.39,,0.34,,0.0,
0.19,,"[213, 64, 156, 196]",,0.0,,0.07,,0.0,,0.39,,0.34,,0.0,
0.18,,"[213, 64, 157, 198]",,0.0,,0.08,,0.0,,0.42,,0.31,,0.0,
0.18,,"[217, 66, 158, 195]",,0.0,,0.13,,0.0,,0.31,,0.38,,0.0,
0.18,,"[217, 66, 158, 195]",,0.0,,0.13,,0.0,,0.31,,0.38,,0.0,
0.23,,"[218, 70, 158, 195]",,0.0,,0.19,,0.0,,0.18,,0.4,,0.0,
0.18,,"[220, 70, 153, 192]",,0.0,,0.14,,0.0,,0.23,,0.44,,0.0,
0.31,,"[218, 65, 156, 199]",,0.0,,0.07,,0.0,,0.38,,0.23,,0.0,
0.31,,"[218, 65, 156, 199]",,0.0,,0.07,,0.0,,0.38,,0.23,,0.0,
0.19,,"[217, 68, 158, 195]",,0.0,,0.08,,0.01,,0.46,,0.27,,0.0,
0.16,,"[219, 69, 155, 194]",,0.0,,0.09,,0.0,,0.44,,0.31,,0.0,
0.17,,"[219, 68, 155, 194]",,0.0,,0.08,,0.0,,0.43,,0.32,,0.0,
0.17,,"[216, 67, 155, 198]",,0.0,,0.13,,0.01,,0.4,,0.29,,0.0,
0.17,,"[216, 67, 155, 198]",,0.0,,0.13,,0.01,,0.4,,0.29,,0.0,
0.23,,"[209, 60, 162, 207]",,0.0,,0.04,,0.0,,0.38,,0.35,,0.0,
